ep,rwd,lpf
0,0.30186703245854,0.30186703245854
1,0.2921795681538823,0.3008982860280743
2,0.17502908311995602,0.28831136573726246
3,0.13301007349939475,0.27278123651347574
4,0.2768827344450032,0.2731913863066285
5,0.42412581111912817,0.2882848287878784
6,0.19886524078900839,0.27934286998799146
7,0.26795688101859017,0.27820427109105134
8,0.480559046776447,0.2984397486595909
9,0.11554831688700545,0.28015060548233234
10,0.32489244217778074,0.28462478915187717
11,0.19386817472146833,0.2755491277088363
12,0.22977950490047255,0.2709721654279999
13,0.2310847347758367,0.2669834223627836
14,0.18429855583138705,0.258714935709644
15,0.36316622532429965,0.2691600646711096
16,0.29682492715275416,0.27192655091927403
17,0.26953002763395995,0.27168689859074263
18,0.17984307730117513,0.2625025164617859
19,0.32241651244191494,0.26849391605979883
20,0.20434696029709226,0.26207922048352816
21,0.28147741076423577,0.26401903951159894
22,0.17598668676851492,0.25521580423729057
23,0.25267172024830015,0.25496139583839156
24,0.20286362042349654,0.24975161829690207
25,0.41288737726656577,0.2660651941938684
26,0.1019489079641947,0.24965356557090107
27,0.3680583673619283,0.2614940457500038
28,0.19664287605203296,0.2550089287802067
29,0.0462484219829002,0.23413287810047606
30,0.15690402792217178,0.22640999308264564
31,0.2816389653601633,0.23193289031039743
32,0.1269342949496882,0.22143303077432652
33,0.1446579004848274,0.21375551774537663
34,0.1309981493416726,0.20547978090500624
35,0.1844769880778939,0.203379501622295
36,0.17025409412237563,0.20006696087230308
37,0.15513243297578083,0.19557350808265087
38,0.1678452668599031,0.19280068396037608
39,0.27291584101484545,0.20081219966582303
40,0.06973404787214602,0.18770438448645532
41,0.09891578914534026,0.1788255249523438
42,0.25103705004187254,0.1860466774612967
43,0.06394476471648901,0.1738364861868159
44,0.12929875878754005,0.16938271344688832
45,0.1255171445075547,0.16499615655295496
46,0.08138045726205337,0.1566345866238648
47,0.09746344120099518,0.15071747208157787
48,0.09803448584597863,0.14544917345801794
49,0.051935818319766416,0.13609783794419278
50,0.11436918347493477,0.13392497249726698
51,0.05663909834087105,0.1261963850816274
52,0.08015999265842907,0.12159274583930757
53,0.15966307407978525,0.12539977866335533
54,0.04686031960453455,0.11754583275747327
55,0.04023153241077179,0.10981440272280311
56,0.14268567811760643,0.11310153026228345
57,0.11942295203642998,0.1137336724396981
58,0.13759940953599126,0.11612024614932742
59,0.12360780553908508,0.11686900208830318
60,0.1811495890937284,0.12329706078884571
61,0.13542111853486483,0.12450946656344762
62,0.056878806476838815,0.11774640055478675
63,0.03503341016239166,0.10947510151554725
64,0.13396785973802722,0.11192437733779526
65,0.09947668847503652,0.11067960845151939
66,0.07748542950360791,0.10736019055672824
67,0.045492384214168236,0.10117340992247224
68,0.10594304137270268,0.10165037306749529
69,0.12813947098862338,0.1042992828596081
70,0.06239582902979142,0.10010893747662644
71,0.06733024220167566,0.09683106794913136
72,0.07334650011292035,0.09448261116551027
73,0.022775828469751992,0.08731193289593445
74,0.04032693695740091,0.0826134333020811
75,0.13670871606519866,0.08802296157839286
76,0.03702955541807259,0.08292362096236083
77,0.16609480784652778,0.09124073965077753
78,0.056737913340385006,0.08779045701973828
79,0.009609378411874479,0.0799723491589519
80,0.03748591047085947,0.07572370529014266
81,0.0020131981726332557,0.06835265457839174
