ep,rwd,lpf
0,0.3360194592983339,0.3360194592983339
1,0.038910726574771,0.3063085860259776
2,0.06414372915380363,0.28209210033876025
3,0.05780152660752572,0.2596630429656368
4,0.020448444413075945,0.2357415831103807
5,0.09996575524267987,0.22216400032361064
6,0.06501281829838743,0.20644888212108833
7,0.03074365024970703,0.18887835893395022
8,0.07019589853794694,0.1770101128943499
9,-0.07526708501461049,0.15178239310345384
10,0.00318888136494103,0.13692304192960258
11,-0.001842835562043752,0.12304645418043794
12,0.001432601017782923,0.11088506886417243
13,0.037197645711162144,0.1035163265488714
14,0.037419466257284754,0.09690664051971273
15,-0.005127750846385554,0.0867032013831029
16,-0.026216582170086065,0.07541122302778401
17,0.000490132954179772,0.0679191140204236
18,-0.0321224703321425,0.05791495558516699
19,0.11249553399551472,0.06337301342620176
20,0.042316966646212005,0.06126740874820279
21,-0.015804204977900117,0.0535602473755925
22,-0.015075788841488157,0.04669664375388444
23,0.01618914535412739,0.04364589391390874
24,-0.012124791796748198,0.038068825342843046
25,0.03936305993453679,0.038198248802012426
26,0.00313984216567914,0.034692408138379094
27,0.044009492993204884,0.035624116623861675
28,0.02757910452331394,0.034819615413806904
29,-0.08137760142663772,0.023199893729762444
30,0.10361244058650047,0.031241148415436248
31,0.014909323479431351,0.02960796592183576
32,-0.03164391872899626,0.02348277745675256
33,0.01601858783743264,0.022736358494820565
34,-0.03342928759033769,0.01711979388630474
35,-0.049481944080894756,0.01045962008958479
36,-0.013045802569200585,0.008109077823706252
37,-0.06755617634698237,0.0005425524066373895
38,0.22781365299589962,0.023269662465563612
39,0.008467865261916018,0.021789482745198853
40,-0.08436592751052553,0.011173941719626414
41,-0.010730373235041123,0.00898351022415966
42,-0.01609660970841951,0.006475498230901744
43,0.0842750819852287,0.01425545660633444
44,-0.03146226129750136,0.00968368481595086
45,0.008664365286859784,0.009581752863041753
46,0.12564190493775065,0.021187768070512644
47,0.011236280536704848,0.020192619317131864
48,0.02195129178751374,0.020368486564170053
49,0.1712195440584024,0.03545359231359329
50,0.0892681982975922,0.040835052911993186
51,0.13154827856803913,0.049906375477597784
52,0.17554113024150902,0.06246985095398891
53,0.17951211728001046,0.07417407758659107
54,0.16767040237164907,0.08352371006509687
55,0.13080080033449826,0.08825141909203701
56,0.11149695089904779,0.0905759722727381
57,0.14199794885305872,0.09571816993077016
58,0.20028377924237967,0.1061747308619311
59,0.10299440620675239,0.10585669839641323
60,0.10789367679009781,0.1060603962357817
61,0.15543291532844342,0.11099764814504787
62,0.09431953065061288,0.10932983639560437
63,0.16425668513252206,0.11482252126929614
64,0.21187069444226833,0.12452733858659336
65,0.179316344242084,0.13000623915214243
