ep,rwd,lpf
0,0.06915193904913455,0.06915193904913455
1,0.010017194342539249,0.06323846457847503
2,0.2485640703665096,0.08177102515727848
3,0.058317258261992674,0.07942564846774991
4,0.07127465247546674,0.0786105488685216
5,0.19988722303032472,0.09073821628470193
6,0.06250463793112751,0.08791485844934449
7,0.05666514112929253,0.08478988671733931
8,0.0432055970557597,0.08063145775118136
9,0.02100419660469317,0.07466873163653254
10,0.10895004623366003,0.07809686309624528
11,0.15156857274897906,0.08544403406151865
12,0.057306359225128924,0.08263026657787968
13,0.0021866425582436123,0.07458590417591607
14,0.027072443451612038,0.06983455810348567
15,0.10499187224061171,0.07335028951719827
16,0.033722384351071,0.06938749900058555
17,0.14763830684654272,0.07721257978518127
18,0.03106111218957981,0.07259743302562113
19,0.08752371969802972,0.07409006169286199
20,0.07175771419478405,0.0738568269430542
21,0.04627378238982249,0.07109852248773103
22,0.011146878421195439,0.06510335808107748
23,0.05911234659288276,0.064504256932258
24,0.07192173771289667,0.06524600501032188
25,0.08624197147596693,0.06734560165688638
26,0.060025744877266266,0.06661361597892437
27,0.06535149762859316,0.06648740414389126
28,0.06549546056196025,0.06638820978569816
29,0.07113770366229204,0.06686315917335756
30,0.08726096385288092,0.06890293964130989
31,0.05379485068236178,0.06739213074541509
32,0.028022420270384353,0.06345515969791202
33,0.04508395121639257,0.061618038849760075
