ep,rwd,lpf
0,0.016387322585694798,0.016387322585694798
1,0.0005877794461872198,0.01480736827174404
2,0.06579255701583957,0.019905887146153593
3,0.036211997530505614,0.021536498184588797
4,0.0006433991696470187,0.01944718828309462
5,0.0005653608933387843,0.01755900554411904
6,0.021167491659857162,0.017919854155692853
7,0.0005898805601081136,0.01618685679613438
8,0.009689939177023455,0.015537165034223288
9,0.029971167209830972,0.016980565251784055
10,0.032194769889325944,0.018501985715538245
11,0.037511837672243156,0.02040297091120874
12,0.012589391156202367,0.0196216129357081
13,0.009503191084876938,0.018609770750624983
14,0.01735144767395891,0.018483938442958377
15,0.06249029698625179,0.022884574297287717
16,0.014843834177926674,0.022080500285351613
17,0.025830433403560882,0.02245549359717254
18,0.04917094914868318,0.02512703915232361
19,0.04289135187251123,0.026903470424342373
20,0.0006102159946999919,0.024274144981378136
21,0.04726950444716031,0.026573680927956356
22,0.03415509129581107,0.027331821964741827
23,0.012206218128064883,0.025819261581074133
24,0.023230277097137986,0.02556036313268052
25,0.02386200759460948,0.025390527578873414
26,0.05651629915219889,0.028503104736205966
27,0.053319243626242144,0.030984718625209583
28,0.05192720036396618,0.033078966799085244
29,0.0005970303088279394,0.029830773150059515
30,0.032893806623829035,0.030137076497436466
31,0.05704362418831934,0.03282773126652475
32,0.041775639569127596,0.033722522096785036
33,0.008046895507142438,0.031154959437820776
34,0.0005036940014868207,0.028089832894187382
35,0.025042214845291434,0.02778507108929779
36,0.060281215234561536,0.031034685503824166
37,0.0005585338267021456,0.027987070336111964
38,0.0005545613425683271,0.025243819436757603
39,0.07331400432227628,0.030050837925309472
40,0.05181979630668536,0.032227733763447064
41,0.028063539271761327,0.03181131431427849
42,0.0019661797287175986,0.028826800855722402
43,0.06396665080274584,0.03234078585042475
44,0.000558343723669985,0.029162541637749274
45,0.04641905146783696,0.030888192620758044
46,0.0005344167415858081,0.02785281503284082
47,0.039037989941311226,0.02897133252368786
48,0.0006349193990219604,0.02613769121122127
49,0.02955535465615835,0.02647945755571498
50,0.06625184710240717,0.0304566965103842
51,0.09828076247091477,0.03723910310643726
52,0.0006441171454312667,0.03357960451033666
53,0.04269629053893524,0.03449127311319652
54,0.01671042820147619,0.032713188622024485
55,0.06501785513195539,0.03594365527301758
56,0.12699949494160928,0.04504923923987675
57,0.08725495032334489,0.049269810348223565
58,0.008167123196781034,0.04515954163307931
59,0.0984451825304328,0.05048810572281466
60,0.0005736547102069168,0.045496660621553886
61,0.0005387180911602841,0.04100086636851453
62,0.0005102421430418502,0.03695180394596726
63,0.0006042258837876347,0.033317046139749305
64,0.010565395217207651,0.03104188104749514
65,0.0657851245540936,0.03451620539815499
66,0.0005053092086408029,0.031115115779203572
67,0.030330259272071024,0.031036630128490318
