ep,rwd,lpf
0,0.05883285668096487,0.05883285668096488
1,0.06145028647187143,0.05909459966005553
2,0.07820093977635575,0.06100523367168555
3,0.052066614372012945,0.060111371741718295
4,0.011928633133471145,0.05529309788089358
5,0.13081686235666065,0.06284547432847029
6,0.02760090515264082,0.05932101741088734
7,0.03893876846222053,0.05728279251602066
8,0.03200253443077532,0.05475476670749613
9,0.026082145194511595,0.05188750455619768
10,0.03931742480975196,0.05063049658155311
11,0.03322772864115997,0.048890219787513796
12,0.004875502607580096,0.044488748069520426
13,0.02855782605613726,0.042895655868182114
14,0.04930009535733486,0.04353609981709739
